firstName,lastName,gender,wikia,seasonId
Jake,Billingsley,male,http://survivor.wikia.com/wiki/Jake_Billingsley,5
Roger,Bingham,male,http://survivor.wikia.com/wiki/Rodger_Bingham,2
Fabio,Birza,male,http://survivor.wikia.com/wiki/Fabio_Birza,21
Matt,Bischoff,male,http://survivor.wikia.com/wiki/Matt_Bischoff,26
Clarence,Black,male,http://survivor.wikia.com/wiki/Clarence_Black,3
Jefra,Bland,female,http://survivor.wikia.com/wiki/Jefra_Bland,28
Spencer,Bledsoe,male,http://survivor.wikia.com/wiki/Spencer_Bledsoe,28
Spencer,Bledsoe,male,http://survivor.wikia.com/wiki/Spencer_Bledsoe,31
Danni,Boatwright,female,http://survivor.wikia.com/wiki/Danni_Boatwright,11
Margaret,Bobonich,female,http://survivor.wikia.com/wiki/Margaret_Bobonich,11
Andrea,Boehlke,female,http://survivor.wikia.com/wiki/Andrea_Boehlke,22
Andrea,Boehlke,female,http://survivor.wikia.com/wiki/Andrea_Boehlke,26
Andrea,Boehlke,female,http://survivor.wikia.com/wiki/Andrea_Boehlke,34
Rudy,Boesch,male,http://survivor.wikia.com/wiki/Rudy_Boesch,1
Rudy,Boesch,male,http://survivor.wikia.com/wiki/Rudy_Boesch,8
Cao,Boi Bui,male,http://survivor.wikia.com/wiki/Cao_Boi_Bui,13
Betsy,Bolan,female,http://survivor.wikia.com/wiki/Betsy_Bolan,19
Natalie,Bolton,female,http://survivor.wikia.com/wiki/Natalie_Bolton,16
Patrick,Bolton,male,http://survivor.wikia.com/wiki/Patrick_Bolton,35
Laura,Boneham,female,http://survivor.wikia.com/wiki/Laura_Boneham,27
Rupert,Boneham,male,http://survivor.wikia.com/wiki/Rupert_Boneham,7
Rupert,Boneham,male,http://survivor.wikia.com/wiki/Rupert_Boneham,8
Rupert,Boneham,male,http://survivor.wikia.com/wiki/Rupert_Boneham,20
Rupert,Boneham,male,http://survivor.wikia.com/wiki/Rupert_Boneham,27
Mike,Borassi,male,http://survivor.wikia.com/wiki/Mike_Borassi,19
Rebecca,Borman,female,http://survivor.wikia.com/wiki/Rebecca_Borman,13
Mikey,Bortone,male,http://survivor.wikia.com/wiki/Mikey_Bortone,16
Jenna,Bowman,female,http://survivor.wikia.com/wiki/Jenna_Bowman,36
Aubry,Bracco,female,http://survivor.wikia.com/wiki/Aubry_Bracco,32
Aubry,Bracco,female,http://survivor.wikia.com/wiki/Aubry_Bracco,34
Tijuana,Bradley,female,http://survivor.wikia.com/wiki/Tijuana_Bradley,7
Michaela,Bradshaw,female,http://survivor.wikia.com/wiki/Michaela_Bradshaw,33
Michaela,Bradshaw,female,http://survivor.wikia.com/wiki/Michaela_Bradshaw,34
Jane,Bright,female,http://survivor.wikia.com/wiki/Jane_Bright,21
Amber,Brkich,female,http://survivor.wikia.com/wiki/Amber_Brkich,2
Amber,Brkich,female,http://survivor.wikia.com/wiki/Amber_Brkich,8
G.C.,Brown,male,http://survivor.wikia.com/wiki/G.C._Brown,17
Jenn,Brown,female,http://survivor.wikia.com/wiki/Jenn_Brown,30
Nick,Brown,male,http://survivor.wikia.com/wiki/Nick_Brown,2
Ben,Browning,male,http://survivor.wikia.com/wiki/Ben_Browning,19
Kelly,Bruno,female,http://survivor.wikia.com/wiki/Kelly_Bruno,21
Tom,Buchanan,male,http://survivor.wikia.com/wiki/Tom_Buchanan,3
Tom,Buchanan,male,http://survivor.wikia.com/wiki/Tom_Buchanan,8
Greg,Buis,male,http://survivor.wikia.com/wiki/Greg_Buis,1
Sekou,Bunch,male,http://survivor.wikia.com/wiki/Sekou_Bunch,13
Sandy,Burgin,female,http://survivor.wikia.com/wiki/Sandy_Burgin,18
Sunday,Burquest,female,http://survivor.wikia.com/wiki/Sunday_Burquest,33
Jay,Byars,male,http://survivor.wikia.com/wiki/Jay_Byars,24
Gabriel,Cade,male,http://survivor.wikia.com/wiki/Gabriel_Cade,4
Alicia,Calaway,female,http://survivor.wikia.com/wiki/Alicia_Calaway,2
Alicia,Calaway,female,http://survivor.wikia.com/wiki/Alicia_Calaway,8
J.P.,Calderon,male,http://survivor.wikia.com/wiki/J.P._Calderon,13
Marisa,Calihan,female,http://survivor.wikia.com/wiki/Marisa_Calihan,19
Jessie,Camacho,female,http://survivor.wikia.com/wiki/Jessie_Camacho,3
Josh,Canfield,male,http://survivor.wikia.com/wiki/Josh_Canfield,29
Erik,Cardona,male,http://survivor.wikia.com/wiki/Erik_Cardona,19
Gregg,Carey,male,http://survivor.wikia.com/wiki/Gregg_Carey,10
John,Carroll,male,http://survivor.wikia.com/wiki/John_Carroll,4
Austin,Carty,male,http://survivor.wikia.com/wiki/Austin_Carty,12
Mark,Caruso,male,http://survivor.wikia.com/wiki/Mark_Caruso,23
Lindsey,Cascaddan,female,http://survivor.wikia.com/wiki/Lindsey_Cascaddan,30
Rob,Cesternino,male,http://survivor.wikia.com/wiki/Rob_Cesternino,6
Rob,Cesternino,male,http://survivor.wikia.com/wiki/Rob_Cesternino,8
Christina,Cha,female,http://survivor.wikia.com/wiki/Christina_Cha,24
Yau-Man,Chan,male,http://survivor.wikia.com/wiki/Yau-Man_Chan,14
Yau-Man,Chan,male,http://survivor.wikia.com/wiki/Yau-Man_Chan,16
Michelle,Chase,female,http://survivor.wikia.com/wiki/Michelle_Chase,17
Mike,Chiesl,male,http://survivor.wikia.com/wiki/Mike_Chiesl,22
Sonja,Christopher,female,http://survivor.wikia.com/wiki/Sonja_Christopher,1
Alec,Christy,male,http://survivor.wikia.com/wiki/Alec_Christy,29
Drew,Christy,male,http://survivor.wikia.com/wiki/Drew_Christy,29
Sophie,Clarke,female,http://survivor.wikia.com/wiki/Sophie_Clarke,23
James,Clement,male,http://survivor.wikia.com/wiki/James_Clement,15
James,Clement,male,http://survivor.wikia.com/wiki/James_Clement,16
James,Clement,male,http://survivor.wikia.com/wiki/James_Clement,20
Scout,Cloud Lee,female,http://survivor.wikia.com/wiki/Scout_Cloud_Lee,9
Brett,Clouser,male,http://survivor.wikia.com/wiki/Brett_Clouser,19
John,Cochran,male,http://survivor.wikia.com/wiki/John_Cochran,23
